2019-09-01 12:39:07
Running ./matvec_openmp
Run on (96 X 2101 MHz CPU s)
CPU Caches:
  L1 Data 32K (x48)
  L1 Instruction 32K (x48)
  L2 Unified 1024K (x48)
  L3 Unified 33792K (x2)
Load Average: 0.00, 0.01, 0.08
***WARNING*** Library was built as DEBUG. Timings may be affected.
---------------------------------------------------------------------------------------------------------
Benchmark                                               Time             CPU   Iterations UserCounters...
BM_MDSpan_OpenMP_MatVec_Raw_Left/left           994793681 ns    992419549 ns            1 bytes_per_second=75.0899G/s repeats=1
BM_MDSpan_OpenMP_MatVec_Raw_Left/left           994817847 ns    992443596 ns            1 bytes_per_second=75.0881G/s repeats=1
BM_MDSpan_OpenMP_MatVec_Raw_Left/left           993288131 ns    990917069 ns            1 bytes_per_second=75.2038G/s repeats=1
BM_MDSpan_OpenMP_MatVec_Raw_Left/left           994951991 ns    992577732 ns            1 bytes_per_second=75.078G/s repeats=1
BM_MDSpan_OpenMP_MatVec_Raw_Left/left           994529063 ns    992146875 ns            1 bytes_per_second=75.1106G/s repeats=1
BM_MDSpan_OpenMP_MatVec_Raw_Left/left           994995710 ns    992620901 ns            1 bytes_per_second=75.0747G/s repeats=1
BM_MDSpan_OpenMP_MatVec_Raw_Left/left           994322721 ns    991938039 ns            1 bytes_per_second=75.1264G/s repeats=1
BM_MDSpan_OpenMP_MatVec_Raw_Left/left           994652011 ns    992277721 ns            1 bytes_per_second=75.1007G/s repeats=1
BM_MDSpan_OpenMP_MatVec_Raw_Left/left           993951943 ns    991569601 ns            1 bytes_per_second=75.1543G/s repeats=1
BM_MDSpan_OpenMP_MatVec_Raw_Left/left           993356489 ns    990985704 ns            1 bytes_per_second=75.1986G/s repeats=1
BM_MDSpan_OpenMP_MatVec_Raw_Left/left           993969820 ns    991597465 ns            1 bytes_per_second=75.1522G/s repeats=1
BM_MDSpan_OpenMP_MatVec_Raw_Left/left           992100688 ns    989731991 ns            1 bytes_per_second=75.2938G/s repeats=1
BM_MDSpan_OpenMP_MatVec_Raw_Left/left           994623095 ns    992249668 ns            1 bytes_per_second=75.1028G/s repeats=1
BM_MDSpan_OpenMP_MatVec_Raw_Left/left           995431306 ns    993055315 ns            1 bytes_per_second=75.0418G/s repeats=1
BM_MDSpan_OpenMP_MatVec_Raw_Left/left           994449230 ns    992076028 ns            1 bytes_per_second=75.1159G/s repeats=1
BM_MDSpan_OpenMP_MatVec_Raw_Left/left           992715338 ns    990334094 ns            1 bytes_per_second=75.248G/s repeats=1
BM_MDSpan_OpenMP_MatVec_Raw_Left/left           995231776 ns    992857154 ns            1 bytes_per_second=75.0568G/s repeats=1
BM_MDSpan_OpenMP_MatVec_Raw_Left/left           993228946 ns    990847344 ns            1 bytes_per_second=75.2091G/s repeats=1
BM_MDSpan_OpenMP_MatVec_Raw_Left/left           994556345 ns    992183084 ns            1 bytes_per_second=75.1078G/s repeats=1
BM_MDSpan_OpenMP_MatVec_Raw_Left/left           993036516 ns    990654976 ns            1 bytes_per_second=75.2237G/s repeats=1
BM_MDSpan_OpenMP_MatVec_Raw_Left/left           992657179 ns    990288351 ns            1 bytes_per_second=75.2515G/s repeats=1
BM_MDSpan_OpenMP_MatVec_Raw_Left/left           994170697 ns    991788018 ns            1 bytes_per_second=75.1377G/s repeats=1
BM_MDSpan_OpenMP_MatVec_Raw_Left/left           995067840 ns    992693053 ns            1 bytes_per_second=75.0692G/s repeats=1
BM_MDSpan_OpenMP_MatVec_Raw_Left/left           995022820 ns    992647680 ns            1 bytes_per_second=75.0727G/s repeats=1
BM_MDSpan_OpenMP_MatVec_Raw_Left/left           995359449 ns    992983514 ns            1 bytes_per_second=75.0473G/s repeats=1
BM_MDSpan_OpenMP_MatVec_Raw_Left/left           993972411 ns    991600011 ns            1 bytes_per_second=75.152G/s repeats=1
BM_MDSpan_OpenMP_MatVec_Raw_Left/left           995113624 ns    992725304 ns            1 bytes_per_second=75.0668G/s repeats=1
BM_MDSpan_OpenMP_MatVec_Raw_Left/left           995663907 ns    993287882 ns            1 bytes_per_second=75.0243G/s repeats=1
BM_MDSpan_OpenMP_MatVec_Raw_Left/left           993999690 ns    991615822 ns            1 bytes_per_second=75.1508G/s repeats=1
BM_MDSpan_OpenMP_MatVec_Raw_Left/left           993957760 ns    991585285 ns            1 bytes_per_second=75.1531G/s repeats=1
BM_MDSpan_OpenMP_MatVec_Raw_Left/left           994979916 ns    992595244 ns            1 bytes_per_second=75.0766G/s repeats=1
BM_MDSpan_OpenMP_MatVec_Raw_Left/left           993922392 ns    991550210 ns            1 bytes_per_second=75.1558G/s repeats=1
BM_MDSpan_OpenMP_MatVec_Raw_Left/left           995194018 ns    992819229 ns            1 bytes_per_second=75.0597G/s repeats=1
BM_MDSpan_OpenMP_MatVec_Raw_Left/left           995540924 ns    993164922 ns            1 bytes_per_second=75.0336G/s repeats=1
BM_MDSpan_OpenMP_MatVec_Raw_Left/left           996009432 ns    993631962 ns            1 bytes_per_second=74.9983G/s repeats=1
BM_MDSpan_OpenMP_MatVec_Raw_Left/left_mean      994219612 ns    991843855 ns           50 bytes_per_second=75.1336G/s repeats=1
BM_MDSpan_OpenMP_MatVec_Raw_Left/left_median    994329711 ns    991950819 ns           50 bytes_per_second=75.1254G/s repeats=1
BM_MDSpan_OpenMP_MatVec_Raw_Left/left_stddev       970751 ns       968848 ns           50 bytes_per_second=75.1612M/s repeats=0
BM_MDSpan_OpenMP_MatVec_Raw_Right/right         350008727 ns    349173439 ns            2 bytes_per_second=213.42G/s repeats=1
BM_MDSpan_OpenMP_MatVec_Raw_Right/right         348937614 ns    348095027 ns            2 bytes_per_second=214.082G/s repeats=1
BM_MDSpan_OpenMP_MatVec_Raw_Right/right         349984013 ns    349148452 ns            2 bytes_per_second=213.436G/s repeats=1
BM_MDSpan_OpenMP_MatVec_Raw_Right/right         349519060 ns    348684816 ns            2 bytes_per_second=213.719G/s repeats=1
BM_MDSpan_OpenMP_MatVec_Raw_Right/right         350117601 ns    349281739 ns            2 bytes_per_second=213.354G/s repeats=1
BM_MDSpan_OpenMP_MatVec_Raw_Right/right         349722195 ns    348878351 ns            2 bytes_per_second=213.601G/s repeats=1
BM_MDSpan_OpenMP_MatVec_Raw_Right/right         349739848 ns    348904946 ns            2 bytes_per_second=213.585G/s repeats=1
